iter	Passed	Remaining
613	8535	5366
614	8547	5350
615	8559	5335
616	8571	5320
617	8583	5305
618	8596	5291
619	8611	5277
620	8621	5261
621	8628	5243
622	8634	5224
623	8639	5205
624	8643	5186
625	8649	5167
626	8655	5149
627	8661	5130
628	8666	5111
629	8671	5092
630	8676	5074
631	8684	5056
632	8689	5038
633	8694	5019
634	8699	5000
635	8704	4981
636	8710	4963
637	8715	4944
638	8719	4926
639	8724	4907
640	8729	4889
641	8734	4870
642	8739	4852
643	8744	4834
644	8750	4816
645	8755	4797
646	8760	4779
647	8765	4761
648	8770	4743
649	8777	4726
650	8783	4708
651	8788	4690
652	8794	4673
653	8799	4655
654	8804	4637
655	8810	4619
656	8815	4602
657	8820	4584
658	8826	4567
659	8831	4549
660	8836	4532
661	8842	4514
662	8848	4497
663	8854	4480
664	8861	4463
665	8867	4446
666	8873	4430
667	8879	4413
668	8887	4397
669	8894	4381
670	8903	4365
671	8910	4349
672	8918	4333
673	8925	4317
674	8934	4301
675	8942	4285
676	8949	4269
677	8956	4253
678	8964	4237
679	8971	4222
680	8979	4206
681	8989	4191
682	8997	4175
683	9004	4159
684	9011	4144
685	9020	4128
686	9029	4113
687	9038	4098
688	9048	4084
689	9057	4069
690	9066	4054
691	9075	4039
692	9084	4024
693	9094	4009
694	9103	3995
695	9115	3981
696	9125	3967
697	9135	3952
698	9144	3937
699	9155	3923
700	9165	3909
701	9175	3894
702	9185	3880
703	9194	3865
704	9203	3851
705	9213	3836
706	9222	3822
707	9231	3807
708	9240	3792
709	9249	3777
710	9258	3763
711	9277	3752
712	9307	3746
713	9317	3732
714	9327	3718
715	9341	3705
716	9356	3692
717	9369	3680
718	9382	3666
719	9395	3653
720	9409	3641
721	9422	3627
722	9435	3615
723	9449	3602
724	9460	3588
725	9471	3574
726	9483	3561
727	9493	3547
728	9506	3533
729	9518	3520
730	9531	3507
731	9543	3494
732	9554	3480
733	9565	3466
734	9577	3452
735	9590	3439
736	9600	3425
737	9611	3412
738	9622	3398
739	9633	3384
740	9653	3373
741	9664	3360
742	9680	3348
743	9694	3335
744	9705	3322
745	9717	3308
746	9728	3294
747	9740	3281
748	9752	3268
749	9764	3254
750	9781	3243
751	9794	3229
752	9811	3218
753	9822	3204
754	9833	3190
755	9846	3178
756	9858	3164
757	9871	3151
758	9883	3138
759	9894	3124
760	9912	3113
761	9925	3100
762	9940	3087
763	9953	3074
764	9967	3061
765	9978	3048
766	9989	3034
767	10000	3021
768	10012	3007
769	10023	2994
770	10035	2980
771	10046	2967
772	10057	2953
773	10068	2939
774	10080	2926
775	10091	2912
776	10102	2899
777	10114	2886
778	10124	2872
779	10135	2858
780	10146	2845
781	10157	2831
782	10168	2818
783	10179	2804
784	10190	2791
785	10201	2777
786	10217	2765
787	10228	2751
788	10239	2738
789	10250	2724
790	10262	2711
791	10273	2698
792	10284	2684
793	10295	2671
794	10314	2659
795	10328	2647
796	10349	2636
797	10362	2623
798	10375	2610
799	10389	2597
800	10402	2584
801	10415	2571
802	10428	2558
803	10444	2546
804	10456	2533
805	10469	2520
806	10482	2507
807	10496	2494
808	10511	2481
809	10524	2468
810	10537	2455
811	10551	2442
812	10564	2429
813	10577	2416
814	10590	2404
815	10603	2390
816	10615	2377
817	10628	2364
818	10642	2352
819	10655	2339
820	10670	2326
821	10684	2313
822	10699	2301
823	10713	2288
824	10726	2275
825	10739	2262
826	10752	2249
827	10765	2236
828	10783	2224
829	10796	2211
830	10816	2199
831	10832	2187
832	10852	2175
833	10870	2163
834	10886	2151
835	10906	2139
836	10926	2127
837	10947	2116
838	10966	2104
839	10989	2093
840	11006	2080
841	11023	2068
842	11039	2056
843	11058	2044
844	11078	2032
845	11098	2020
846	11115	2007
847	11131	1995
848	11146	1982
849	11161	1969
850	11177	1957
851	11195	1944
852	11213	1932
853	11230	1919
854	11247	1907
855	11262	1894
856	11279	1882
857	11295	1869
858	11319	1857
859	11338	1845
860	11358	1833
861	11380	1821
862	11403	1810
863	11422	1797
864	11447	1786
865	11472	1775
866	11493	1763
867	11510	1750
868	11528	1737
869	11547	1725
870	11561	1712
871	11578	1699
872	11595	1686
873	11612	1674
874	11628	1661
875	11643	1648
876	11659	1635
877	11674	1622
878	11688	1608
879	11704	1596
880	11724	1583
881	11741	1570
882	11761	1558
883	11776	1545
884	11790	1532
885	11803	1518
886	11817	1505
887	11831	1492
888	11849	1479
889	11867	1466
890	11880	1453
891	11893	1440
892	11907	1426
893	11922	1413
894	11936	1400
895	11949	1386
896	11963	1373
897	11974	1360
898	11979	1345
899	11985	1331
900	11990	1317
901	11995	1303
902	12001	1289
903	12006	1275
904	12011	1260
905	12016	1246
906	12021	1232
907	12026	1218
908	12032	1204
909	12037	1190
910	12043	1176
911	12048	1162
912	12054	1148
913	12059	1134
914	12064	1120
915	12069	1106
916	12074	1092
917	12080	1079
918	12085	1065
919	12090	1051
920	12096	1037
921	12102	1023
922	12107	1010
923	12112	996
924	12117	982
925	12122	968
926	12128	955
927	12133	941
928	12138	927
929	12144	914
930	12149	900
931	12154	886
932	12159	873
933	12164	859
934	12169	846
935	12174	832
936	12180	818
937	12186	805
938	12191	791
939	12196	778
940	12202	765
941	12207	751
942	12212	738
943	12218	724
944	12222	711
945	12228	698
946	12234	684
947	12239	671
948	12244	658
949	12249	644
950	12254	631
951	12259	618
952	12264	604
953	12269	591
954	12274	578
955	12279	565
956	12285	552
957	12290	538
958	12295	525
959	12301	512
960	12306	499
961	12311	486
962	12316	473
963	12321	460
964	12326	447
965	12331	434
966	12336	421
967	12341	407
968	12346	395
969	12352	382
970	12357	369
971	12362	356
972	12367	343
973	12372	330
974	12378	317
975	12383	304
976	12388	291
977	12393	278
978	12397	265
979	12402	253
980	12407	240
981	12412	227
982	12416	214
983	12421	201
984	12425	189
985	12430	176
986	12435	163
987	12439	151
988	12444	138
989	12449	125
990	12454	113
991	12459	100
992	12464	87
993	12469	75
994	12474	62
995	12479	50
996	12483	37
997	12488	25
998	12493	12
999	12497	0
